Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCF_019029505.1	Streptomyces sp. Osf17	Osf17	7967258	7883883	5787149	72.5
GCA_019029505.1	Streptomyces sp. Osf17	Osf17	7967258	7883883	5787149	72.5
GCF_900091905.1	Streptomyces sp. OspMP-M43	OspMP-M43	8236685	8512	5938163	72
GCA_900091905.1	Streptomyces sp. OspMP-M43	OspMP-M43	8236685	8512	5938163	72
GCF_002705695.1	Streptomyces sp. OspMP-M45	OspMP-M45	7407922	285389	5339505	72
GCF_900090065.1	Streptomyces sp. OspMP-M45	OspMP-M45	7407922	285389	5339505	72
GCA_002705695.1	Streptomyces sp. OspMP-M45	OspMP-M45	7407922	285389	5339505	72
GCA_900090065.1	Streptomyces sp. OspMP-M45	OspMP-M45	7407922	285389	5339505	72
GCF_020881855.1	Streptomyces sp. OUCMDZ-3434	OUCMDZ-3434	6750555	5840027	4936201	73
GCA_020881855.1	Streptomyces sp. OUCMDZ-3434	OUCMDZ-3434	6750555	5840027	4936201	73
GCF_024742195.1	Streptomyces sp. OUCMDZ-4982	OUCMDZ-4982	8201625	170610	5920472	72
GCA_024742195.1	Streptomyces sp. OUCMDZ-4982	OUCMDZ-4982	8201625	170610	5920472	72
GCF_900230275.1	Streptomyces sp. OV198	OV198	11619287	9898408	8151473	70
GCA_900230275.1	Streptomyces sp. OV198	OV198	11619287	9898408	8151473	70
GCF_032436805.1	Streptomyces sp. P17	P17	8790338	97668	6121685	69.5
GCA_032436805.1	Streptomyces sp. P17	P17	8790338	97668	6121685	69.5
GCF_003032475.1	Streptomyces sp. P3	P3	9851971	9851971	7030938	71.5
GCA_003032475.1	Streptomyces sp. P3	P3	9851971	9851971	7030938	71.5
GCA_016893485.2	Streptomyces sp. P3	P3	9998232	9881024	7043552	70.5
GCF_036634155.1	Streptomyces sp. P5-A9	P5-A9	8174694	7671826	5818159	71
GCA_036634155.1	Streptomyces sp. P5-A9	P5-A9	8174694	7671826	5818159	71
GCF_032436795.1	Streptomyces sp. P9(2023)	P9(2023)	8077218	161298	5718330	71
GCA_032436795.1	Streptomyces sp. P9(2023)	P9(2023)	8077218	161298	5718330	71
GCF_030406845.1	Streptomyces sp. P9-2B-1	P9-2B-1	7408683	7408683	5268483	71
GCA_030406845.1	Streptomyces sp. P9-2B-1	P9-2B-1	7408683	7408683	5268483	71
GCF_030406865.1	Streptomyces sp. P9-2B-2	P9-2B-2	8895847	8743146	6314791	71
GCA_030406865.1	Streptomyces sp. P9-2B-2	P9-2B-2	8895847	8743146	6314791	71
GCF_036634175.1	Streptomyces sp. P9-A2	P9-A2	8385695	8283358	5946713	71
GCA_036634175.1	Streptomyces sp. P9-A2	P9-A2	8385695	8283358	5946713	71
GCF_036634195.1	Streptomyces sp. P9-A4	P9-A4	7535784	6842853	5424588	72
GCA_036634195.1	Streptomyces sp. P9-A4	P9-A4	7535784	6842853	5424588	72
GCF_033792785.1	Streptomyces sp. PA03-2a	PA03-2a	7666203	244026	5356335	70
GCA_033792785.1	Streptomyces sp. PA03-2a	PA03-2a	7666203	244026	5356335	70
GCF_032465575.1	Streptomyces sp. PAL114	PAL114	7420521	13798	5367855	72.5
GCA_032465575.1	Streptomyces sp. PAL114	PAL114	7420521	13798	5367855	72.5
GCF_900091765.1	Streptomyces sp. PalvLS-984	PalvLS-984	7098159	38665	5120426	72
GCA_900091765.1	Streptomyces sp. PalvLS-984	PalvLS-984	7098159	38665	5120426	72
GCF_018966745.1	Streptomyces sp. PAM3C	PAM3C	7665955	353404	5541526	72.5
GCA_018966745.1	Streptomyces sp. PAM3C	PAM3C	7665955	353404	5541526	72.5
GCF_000364805.1	Streptomyces sp. PAMC 26508	PAMC 26508	7630245	7526197	5420035	71
GCA_000364805.1	Streptomyces sp. PAMC 26508	PAMC 26508	7630245	7526197	5420035	71
GCF_900105465.1	Streptomyces sp. PAN_FS17	PAN_FS17	10467880	10129720	7414197	71
GCA_900105465.1	Streptomyces sp. PAN_FS17	PAN_FS17	10467880	10129720	7414197	71
GCF_003752205.1	Streptomyces sp. PanSC19	PanSC19	8478560	6165876	6156839	72.5
GCA_003752205.1	Streptomyces sp. PanSC19	PanSC19	8478560	6165876	6156839	72.5
GCF_003751985.1	Streptomyces sp. PanSC9	PanSC9	8853256	6143699	6387322	72
GCA_003751985.1	Streptomyces sp. PanSC9	PanSC9	8853256	6143699	6387322	72
GCF_001040905.1	Streptomyces sp. PBH53	PBH53	9153597	2023887	6657282	72.5
GCA_001040905.1	Streptomyces sp. PBH53	PBH53	9153597	2023887	6657282	72.5
GCF_022809335.1	Streptomyces sp. PBSH9	PBSH9	7347225	7139626	5264458	71.5
GCA_022809335.1	Streptomyces sp. PBSH9	PBSH9	7347225	7139626	5264458	71.5
GCF_000612545.2	Streptomyces sp. PCS3-D2	PCS3-D2	7628241	7512055	5495459	72
GCA_000612545.2	Streptomyces sp. PCS3-D2	PCS3-D2	7628241	7512055	5495459	72
GCA_041199445.1	Streptomyces sp. PGLac3x	PGLac3x	7034870	5269	5177698	73.5
GCF_900187925.1	Streptomyces sp. PgraA7	PgraA7	8317680	291629	5945409	71.5
GCA_900187925.1	Streptomyces sp. PgraA7	PgraA7	8317680	291629	5945409	71.5
GCF_030063355.1	Streptomyces sp. PH10-H1	PH10-H1	8547335	71524	5994583	70
GCA_030063355.1	Streptomyces sp. PH10-H1	PH10-H1	8547335	71524	5994583	70
GCF_020400645.1	Streptomyces sp. PHES57	PHES57	7779315	285115	5658166	72.5
GCA_020400645.1	Streptomyces sp. PHES57	PHES57	7779315	285115	5658166	72.5
GCF_013387495.1	Streptomyces sp. PKU-EA00015	PKU-EA00015	7704174	191302	5490153	71.5
GCA_013387495.1	Streptomyces sp. PKU-EA00015	PKU-EA00015	7704174	191302	5490153	71.5
GCF_013018355.1	Streptomyces sp. PKU-MA01144	PKU-MA01144	7281296	131299	5246122	72
GCA_013018355.1	Streptomyces sp. PKU-MA01144	PKU-MA01144	7281296	131299	5246122	72
GCF_023168385.1	Streptomyces sp. PLM4	PLM4	7000089	7000089	5141716	73.5
GCA_023168385.1	Streptomyces sp. PLM4	PLM4	7000089	7000089	5141716	73.5
GCF_037117125.1	Streptomyces sp. PmtA	PmtA	8070456	638452	5830600	72
GCA_037117125.1	Streptomyces sp. PmtA	PmtA	8070456	638452	5830600	72
GCA_037117115.1	Streptomyces sp. PmtG	PmtG	9673714	852266	7016559	72.5
GCA_000191645.2	Streptomyces sp. PP-C42	PP-C42	6467850	1414	4660026	72
GCF_900091835.1	Streptomyces sp. PpalLS-921	PpalLS-921	7371288	80767	5306121	72
GCA_900091835.1	Streptomyces sp. PpalLS-921	PpalLS-921	7371288	80767	5306121	72
GCF_026420845.1	Streptomyces sp. PR69	PR69	6570163	186895	4698288	71.5
GCA_026420845.1	Streptomyces sp. PR69	PR69	6570163	186895	4698288	71.5
GCF_000590515.1	Streptomyces sp. PRh5	PRh5	11084188	95768	7879857	71
GCA_000590515.1	Streptomyces sp. PRh5	PRh5	11084188	95768	7879857	71
GCF_021890875.1	Streptomyces sp. PSAA01	PSAA01	9224189	86830	6565884	71
GCA_021890875.1	Streptomyces sp. PSAA01	PSAA01	9224189	86830	6565884	71
GCF_020166595.1	Streptomyces sp. PSKA30	PSKA30	8714222	14701	6123812	70.5
GCA_020166595.1	Streptomyces sp. PSKA30	PSKA30	8714222	14701	6123812	70.5
GCF_040560175.1	Streptomyces sp. PSRA5	PSRA5	7874420	33764	5563215	70.5
GCA_040560175.1	Streptomyces sp. PSRA5	PSRA5	7874420	33764	5563215	70.5
GCF_000373685.1	Streptomyces sp. PsTaAH-124	PsTaAH-124	8808859	329999	6425125	73
GCA_000373685.1	Streptomyces sp. PsTaAH-124	PsTaAH-124	8808859	329999	6425125	73
GCF_003259585.1	Streptomyces sp. PsTaAH-130	PsTaAH-130	8026993	332821	5814882	72.5
GCA_003259585.1	Streptomyces sp. PsTaAH-130	PsTaAH-130	8026993	332821	5814882	72.5
GCF_003259365.1	Streptomyces sp. PsTaAH-137	PsTaAH-137	8956806	264961	6389081	71.5
GCA_003259365.1	Streptomyces sp. PsTaAH-137	PsTaAH-137	8956806	264961	6389081	71.5
GCF_003311645.1	Streptomyces sp. PT12	PT12	6922703	121713	5047247	73
GCA_003311645.1	Streptomyces sp. PT12	PT12	6922703	121713	5047247	73
GCF_037034285.1	Streptomyces sp. PTD5-9	PTD5-9	8302773	143236	6027941	72.5
GCA_037034285.1	Streptomyces sp. PTD5-9	PTD5-9	8302773	143236	6027941	72.5
GCF_037034265.1	Streptomyces sp. PTD9-10	PTD9-10	9565308	262076	6820724	71.5
GCA_037034265.1	Streptomyces sp. PTD9-10	PTD9-10	9565308	262076	6820724	71.5
GCF_001687325.1	Streptomyces sp. PTY087I2	PTY087I2	8164109	189289	5836973	71.5
GCA_001687325.1	Streptomyces sp. PTY087I2	PTY087I2	8164109	189289	5836973	71.5
GCF_041028275.1	Streptomyces sp. PU-14G	PU_14G	7892220	17848	5690938	72
GCA_041028275.1	Streptomyces sp. PU-14G	PU_14G	7892220	17848	5690938	72
GCF_032463845.1	Streptomyces sp. PU10	PU10	8175410	6400531	5894920	72
GCA_032463845.1	Streptomyces sp. PU10	PU10	8175410	6400531	5894920	72
GCF_041363995.1	Streptomyces sp. PU_AKi4	PU_AKi4	8604531	11803	6175681	72
GCA_041363995.1	Streptomyces sp. PU_AKi4	PU_AKi4	8604531	11803	6175681	72
GCF_000495755.1	Streptomyces sp. PVA_94-07	PVA 94-07	7106149	559062	5191040	73
GCA_000495755.1	Streptomyces sp. PVA_94-07	PVA 94-07	7106149	559062	5191040	73
GCF_040549125.1	Streptomyces sp. PvP037	PvP037	7667295	296212	5547086	72.5
GCA_040549125.1	Streptomyces sp. PvP037	PvP037	7667295	296212	5547086	72.5
GCF_017877015.1	Streptomyces sp. PvR006	PvR006	8668083	8668083	6280461	72.5
GCA_017877015.1	Streptomyces sp. PvR006	PvR006	8668083	8668083	6280461	72.5
GCF_040549235.1	Streptomyces sp. PvR018	PvR018	8311439	364881	5928541	71.5
GCA_040549235.1	Streptomyces sp. PvR018	PvR018	8311439	364881	5928541	71.5
GCF_040547435.1	Streptomyces sp. PvR034	PvR034	7043367	160704	5103145	72.5
GCA_040547435.1	Streptomyces sp. PvR034	PvR034	7043367	160704	5103145	72.5
GCF_036967205.1	Streptomyces sp. Q6	Q6	8951745	8566166	6382539	71.5
GCA_036967205.1	Streptomyces sp. Q6	Q6	8951745	8566166	6382539	71.5
GCF_041283565.1	Streptomyces sp. QH1-20	QH1-20	8411692	8065090	5984044	71
GCA_041283565.1	Streptomyces sp. QH1-20	QH1-20	8411692	8065090	5984044	71
GCF_009789635.1	Streptomyces sp. QHH-9511	QHH-9511	7615276	7524079	5431186	71.5
GCA_009789635.1	Streptomyces sp. QHH-9511	QHH-9511	7615276	7524079	5431186	71.5
GCF_002941025.2	Streptomyces sp. QL37	QL37	8749625	8640427	6200969	71
GCA_002941025.2	Streptomyces sp. QL37	QL37	8749625	8640427	6200969	71
GCF_041051885.1	Streptomyces sp. R02	R02	7705810	7339597	5578665	72.5
GCA_041051885.1	Streptomyces sp. R02	R02	7705810	7339597	5578665	72.5
GCF_041051895.1	Streptomyces sp. R08	R08	10909712	10909712	7650950	70
GCA_041051895.1	Streptomyces sp. R08	R08	10909712	10909712	7650950	70
GCF_020861705.1	Streptomyces sp. R1	R1	7936694	237932	5735807	72.5
GCA_020861705.1	Streptomyces sp. R1	R1	7936694	237932	5735807	72.5
GCF_041051905.1	Streptomyces sp. R11	R11	9635216	9635216	6764486	70
GCA_041051905.1	Streptomyces sp. R11	R11	9635216	9635216	6764486	70
GCF_041051945.1	Streptomyces sp. R17	R17	7622384	7303904	5526276	72.5
GCA_041051945.1	Streptomyces sp. R17	R17	7622384	7303904	5526276	72.5
GCF_041051975.1	Streptomyces sp. R21	R21	10025769	10013981	7065084	70.5
GCA_041051975.1	Streptomyces sp. R21	R21	10025769	10013981	7065084	70.5
GCF_041052385.1	Streptomyces sp. R28	R28	10762582	10762582	7587196	70.5
GCA_041052385.1	Streptomyces sp. R28	R28	10762582	10762582	7587196	70.5
GCF_012927225.1	Streptomyces sp. R301	R301	7946986	393472	5780613	72.5
GCA_012927225.1	Streptomyces sp. R301	R301	7946986	393472	5780613	72.5
GCF_012927245.1	Streptomyces sp. R302	R302	7950470	587414	5782980	72.5
GCA_012927245.1	Streptomyces sp. R302	R302	7950470	587414	5782980	72.5
GCF_041200175.1	Streptomyces sp. R33	R33	9100217	8716785	6515411	71.5
GCA_041200175.1	Streptomyces sp. R33	R33	9100217	8716785	6515411	71.5
GCF_041053035.1	Streptomyces sp. R35	R35	11220712	11220712	7855634	70
GCA_041053035.1	Streptomyces sp. R35	R35	11220712	11220712	7855634	70
GCF_041053045.1	Streptomyces sp. R39	R39	11198551	10785087	7975538	71
GCA_041053045.1	Streptomyces sp. R39	R39	11198551	10785087	7975538	71
GCF_041053055.1	Streptomyces sp. R41	R41	10462393	10462393	7318744	70
GCA_041053055.1	Streptomyces sp. R41	R41	10462393	10462393	7318744	70
GCF_041053105.1	Streptomyces sp. R44	R44	8892027	8892027	6402138	72
GCA_041053105.1	Streptomyces sp. R44	R44	8892027	8892027	6402138	72
GCF_021491675.1	Streptomyces sp. R527F	R527F	7850121	7850121	5615289	71.5
GCA_021491675.1	Streptomyces sp. R527F	R527F	7850121	7850121	5615289	71.5
GCF_016624005.1	Streptomyces sp. RB110-1	RB110-1	7876943	6168808	5711705	72.5
GCA_016624005.1	Streptomyces sp. RB110-1	RB110-1	7876943	6168808	5711705	72.5
GCF_016521585.1	Streptomyces sp. RB110-2	RB110-2	7881218	7818872	5714955	72.5
GCA_016521585.1	Streptomyces sp. RB110-2	RB110-2	7881218	7818872	5714955	72.5
GCF_036633395.1	Streptomyces sp. RB13	RB13	8466287	8420393	6116234	72
GCA_036633395.1	Streptomyces sp. RB13	RB13	8466287	8420393	6116234	72
GCF_009604455.1	Streptomyces sp. RB17	RB17	9752269	747161	6926296	71
GCA_009604455.1	Streptomyces sp. RB17	RB17	9752269	747161	6926296	71
GCF_013414305.1	Streptomyces sp. Rer75	Rer75	10474412	10474412	7480658	71.5
GCA_013414305.1	Streptomyces sp. Rer75	Rer75	10474412	10474412	7480658	71.5
GCF_023515955.1	Streptomyces sp. RerS4	RerS4	7543621	7301482	5445175	72
GCA_023515955.1	Streptomyces sp. RerS4	RerS4	7543621	7301482	5445175	72
GCF_004193175.1	Streptomyces sp. RFCAC02	RFCAC02	6125388	6102305	4498590	73.5
GCA_004193175.1	Streptomyces sp. RFCAC02	RFCAC02	6125388	6102305	4498590	73.5
GCF_040446465.1	Streptomyces sp. RG80	RG80	10418371	616840	7369481	70.5
GCA_040446465.1	Streptomyces sp. RG80	RG80	10418371	616840	7369481	70.5
GCF_002551235.1	Streptomyces sp. rh195	rh195	8626399	25776	6166945	71.5
GCA_002551235.1	Streptomyces sp. rh195	rh195	8626399	25776	6166945	71.5
GCF_002551225.1	Streptomyces sp. rh206	rh206	8623355	24278	6164217	71.5
GCA_002551225.1	Streptomyces sp. rh206	rh206	8623355	24278	6164217	71.5
GCF_002551215.1	Streptomyces sp. rh207	rh207	8624918	21085	6165080	71.5
GCA_002551215.1	Streptomyces sp. rh207	rh207	8624918	21085	6165080	71.5
GCF_002551245.1	Streptomyces sp. rh34	rh34	8221365	26146	5881161	71.5
GCA_002551245.1	Streptomyces sp. rh34	rh34	8221365	26146	5881161	71.5
GCF_018070265.1	Streptomyces sp. RK23	RK23	8731455	207964	6297170	72
GCA_018070265.1	Streptomyces sp. RK23	RK23	8731455	207964	6297170	72
GCF_018070225.1	Streptomyces sp. RK31	RK31	8033180	216918	5796176	72
GCA_018070225.1	Streptomyces sp. RK31	RK31	8033180	216918	5796176	72
GCF_018070255.1	Streptomyces sp. RK62	RK62	7759076	375048	5582954	72
GCA_018070255.1	Streptomyces sp. RK62	RK62	7759076	375048	5582954	72
GCF_018070175.1	Streptomyces sp. RK74B	RK74B	8735783	212810	6300331	72
GCA_018070175.1	Streptomyces sp. RK74B	RK74B	8735783	212810	6300331	72
GCF_018070165.1	Streptomyces sp. RK75	RK75	7887653	322998	5618741	71
GCA_018070165.1	Streptomyces sp. RK75	RK75	7887653	322998	5618741	71
GCF_018070145.1	Streptomyces sp. RK76	RK76	8856736	242540	6395157	72
GCA_018070145.1	Streptomyces sp. RK76	RK76	8856736	242540	6395157	72
GCF_023701695.1	Streptomyces sp. RKAG290	RKAG290	8076210	7894875	5724092	71
GCA_023701695.1	Streptomyces sp. RKAG290	RKAG290	8076210	7894875	5724092	71
GCF_023701745.1	Streptomyces sp. RKAG293	RKAG293	9266478	9119197	6568697	71
GCA_023701745.1	Streptomyces sp. RKAG293	RKAG293	9266478	9119197	6568697	71
GCF_023701715.1	Streptomyces sp. RKAG337	RKAG337	8050073	7818265	5726978	71
GCA_023701715.1	Streptomyces sp. RKAG337	RKAG337	8050073	7818265	5726978	71
GCF_024138375.1	Streptomyces sp. RKCA744	RKCA744	9759387	40528	7036285	72
GCA_024138375.1	Streptomyces sp. RKCA744	RKCA744	9759387	40528	7036285	72
GCF_004795255.1	Streptomyces sp. RKND-216	RKND-216	5614747	5584260	4074157	72.5
GCA_004795255.1	Streptomyces sp. RKND-216	RKND-216	5614747	5584260	4074157	72.5
GCF_012922115.1	Streptomyces sp. RLA2-12	RLA2-12	10892946	10825588	7658706	70.5
GCA_012922115.1	Streptomyces sp. RLA2-12	RLA2-12	10892946	10825588	7658706	70.5
GCA_012273535.2	Streptomyces sp. RLB1-33	RLB1-33	12134111	12134111	8494751	70
GCF_007113405.2	Streptomyces sp. RLB1-8	RLB1-8	11765395	11765395	8263234	70
GCA_007113405.2	Streptomyces sp. RLB1-8	RLB1-8	11765395	11765395	8263234	70
GCF_007113525.2	Streptomyces sp. RLB1-9	RLB1-9	12201201	11940408	8565156	70
GCA_007113525.2	Streptomyces sp. RLB1-9	RLB1-9	12201201	11940408	8565156	70
GCF_007113425.2	Streptomyces sp. RLB3-17	RLB3-17	12022941	12022941	8440702	70
GCA_007113425.2	Streptomyces sp. RLB3-17	RLB3-17	12022941	12022941	8440702	70
GCF_007113445.1	Streptomyces sp. RLB3-5	RLB3-5	11898970	6075948	8352422	70
GCA_007113445.1	Streptomyces sp. RLB3-5	RLB3-5	11898970	6075948	8352422	70
GCF_007113545.2	Streptomyces sp. RLB3-6	RLB3-6	12448484	6653830	8729510	70
GCA_007113545.2	Streptomyces sp. RLB3-6	RLB3-6	12448484	6653830	8729510	70
GCF_018070205.1	Streptomyces sp. RM72	RM72	9413267	171449	6770615	72
GCA_018070205.1	Streptomyces sp. RM72	RM72	9413267	171449	6770615	72
GCF_018070125.1	Streptomyces sp. RM99	RM99	7904977	441565	5737892	72.5
GCA_018070125.1	Streptomyces sp. RM99	RM99	7904977	441565	5737892	72.5
GCF_023930305.1	Streptomyces sp. RO-S4	RO-S4	7497846	117347	5429008	72.5
GCA_023930305.1	Streptomyces sp. RO-S4	RO-S4	7497846	117347	5429008	72.5
GCF_001426325.1	Streptomyces sp. Root1295	Root1295	9196637	54607	6568663	71.5
GCA_001426325.1	Streptomyces sp. Root1295	Root1295	9196637	54607	6568663	71.5
GCF_001426405.1	Streptomyces sp. Root1304	Root1304	7584031	557836	5493455	72.5
GCA_001426405.1	Streptomyces sp. Root1304	Root1304	7584031	557836	5493455	72.5
GCF_001426425.1	Streptomyces sp. Root1310	Root1310	9540101	701632	6821448	71.5
GCA_001426425.1	Streptomyces sp. Root1310	Root1310	9540101	701632	6821448	71.5
GCF_001426615.1	Streptomyces sp. Root1319	Root1319	6744287	72781	4806500	71.5
GCA_001426615.1	Streptomyces sp. Root1319	Root1319	6744287	72781	4806500	71.5
GCF_001428885.1	Streptomyces sp. Root264	Root264	9015452	58704	6450423	71.5
GCA_001428885.1	Streptomyces sp. Root264	Root264	9015452	58704	6450423	71.5
GCF_001425805.1	Streptomyces sp. Root369	Root369	10741251	302259	7551601	70.5
GCA_001425805.1	Streptomyces sp. Root369	Root369	10741251	302259	7551601	70.5
GCF_001426585.1	Streptomyces sp. Root431	Root431	6497041	700378	4687898	72
GCA_001426585.1	Streptomyces sp. Root431	Root431	6497041	700378	4687898	72
GCF_001427245.1	Streptomyces sp. Root55	Root55	8054949	388630	5722550	71
GCA_001427245.1	Streptomyces sp. Root55	Root55	8054949	388630	5722550	71
GCF_001427565.1	Streptomyces sp. Root63	Root63	9213798	675339	6589345	71.5
GCA_001427565.1	Streptomyces sp. Root63	Root63	9213798	675339	6589345	71.5
GCF_001427745.1	Streptomyces sp. Root66D1	Root66D1	7586415	458451	5495072	72.5
GCA_001427745.1	Streptomyces sp. Root66D1	Root66D1	7586415	458451	5495072	72.5
GCF_003933965.1	Streptomyces sp. RP5T	RP5T	9590268	13705	6800508	71
GCA_003933965.1	Streptomyces sp. RP5T	RP5T	9590268	13705	6800508	71
GCF_012273515.2	Streptomyces sp. RPA4-2	RPA4-2	9860181	9860181	6993032	71
GCA_012273515.2	Streptomyces sp. RPA4-2	RPA4-2	9860181	9860181	6993032	71
GCF_012273495.1	Streptomyces sp. RPA4-5	RPA4-5	9051652	6460961	6423969	71
GCA_012273495.1	Streptomyces sp. RPA4-5	RPA4-5	9051652	6460961	6423969	71
GCF_027533845.1	Streptomyces sp. RPT161	RPT161	7686396	304118	5410004	70.5
GCA_027533845.1	Streptomyces sp. RPT161	RPT161	7686396	304118	5410004	70.5
GCF_025909865.1	Streptomyces sp. RS2	RS2	9391717	7855613	6751812	72
GCA_025909865.1	Streptomyces sp. RS2	RS2	9391717	7855613	6751812	72
GCF_018070055.1	Streptomyces sp. RT42	RT42	8180685	288093	5928819	72.5
GCA_018070055.1	Streptomyces sp. RT42	RT42	8180685	288093	5928819	72.5
GCF_001640565.1	Streptomyces sp. RTd22	RTd22	11185248	179613	7971596	71.5
GCF_001650215.1	Streptomyces sp. RTd22	RTd22	11142275	11142275	7942125	71.5
GCA_001640565.1	Streptomyces sp. RTd22	RTd22	11185248	179613	7971596	71.5
GCA_001650215.1	Streptomyces sp. RTd22	RTd22	11142275	11142275	7942125	71.5
GCF_030270785.1	Streptomyces sp. RTGN2	RTGN2	9472222	189630	6738560	71
GCA_030270785.1	Streptomyces sp. RTGN2	RTGN2	9472222	189630	6738560	71
GCF_002920615.1	Streptomyces sp. Ru62	Ru62	9536025	235045	6863124	72
GCA_002920615.1	Streptomyces sp. Ru62	Ru62	9536025	235045	6863124	72
GCF_002920535.1	Streptomyces sp. Ru71	Ru71	8229423	85687	5933232	72
GCA_002920535.1	Streptomyces sp. Ru71	Ru71	8229423	85687	5933232	72
GCF_002920635.1	Streptomyces sp. Ru72	Ru72	8512543	60931	6032196	71
GCA_002920635.1	Streptomyces sp. Ru72	Ru72	8512543	60931	6032196	71
GCF_002920575.1	Streptomyces sp. Ru73	Ru73	8211620	65242	5954823	72.5
GCA_002920575.1	Streptomyces sp. Ru73	Ru73	8211620	65242	5954823	72.5
GCF_002573955.1	Streptomyces sp. Ru87	Ru87	7675182	20124	5611937	73
GCA_002573955.1	Streptomyces sp. Ru87	Ru87	7675182	20124	5611937	73
GCF_012184365.2	Streptomyces sp. S-2	S-2	7243498	4185286	5307981	73.5
GCA_012184365.2	Streptomyces sp. S-2	S-2	7243498	4185286	5307981	73.5
GCF_016834575.1	Streptomyces sp. S-9	S-9	7144310	45665	5182229	72.5
GCA_016834575.1	Streptomyces sp. S-9	S-9	7144310	45665	5182229	72.5
GCF_030403745.1	Streptomyces sp. S.PB5	S.PB5	10853119	501857	7659831	70.5
GCA_030403745.1	Streptomyces sp. S.PB5	S.PB5	10853119	501857	7659831	70.5
GCF_030386795.1	Streptomyces sp. S.PNR 29	S.PNR 29	9277563	376331	6585224	71
GCA_030386795.1	Streptomyces sp. S.PNR 29	S.PNR 29	9277563	376331	6585224	71
GCF_002832675.1	Streptomyces sp. S063	S063	7614683	7614683	5443370	71.5
GCA_002832675.1	Streptomyces sp. S063	S063	7614683	7614683	5443370	71.5
GCF_020739505.1	Streptomyces sp. S07_1.15	S07_1.15	7254545	7094148	5301144	73
GCA_020739505.1	Streptomyces sp. S07_1.15	S07_1.15	7254545	7094148	5301144	73
GCF_003687505.1	Streptomyces sp. S1	S1	7775858	33506	5666362	73
GCA_003687505.1	Streptomyces sp. S1	S1	7775858	33506	5666362	73
GCF_004010035.1	Streptomyces sp. S10(2018)	S10(2018)	7629447	11240	5468430	71.5
GCA_004010035.1	Streptomyces sp. S10(2018)	S10(2018)	7629447	11240	5468430	71.5
GCA_037117105.1	Streptomyces sp. S1A(2023)	S1A(2023)	8340624	1648656	5960627	71.5
GCF_007113465.1	Streptomyces sp. S1A1-3	S1A1-3	12042091	7815804	8454577	70
GCA_007113465.1	Streptomyces sp. S1A1-3	S1A1-3	12042091	7815804	8454577	70
GCF_007113565.2	Streptomyces sp. S1A1-7	S1A1-7	12005569	4110985	8432170	70
GCA_007113565.2	Streptomyces sp. S1A1-7	S1A1-7	12005569	4110985	8432170	70
GCF_007113505.2	Streptomyces sp. S1A1-8	S1A1-8	12037094	12037094	8451210	70
GCA_007113505.2	Streptomyces sp. S1A1-8	S1A1-8	12037094	12037094	8451210	70
GCA_012275145.2	Streptomyces sp. S1D4-11	S1D4-11	12280228	12280228	8579775	70
GCF_007113665.2	Streptomyces sp. S1D4-14	S1D4-14	11934630	11723552	8379314	70
GCA_007113665.2	Streptomyces sp. S1D4-14	S1D4-14	11934630	11723552	8379314	70
GCF_007113585.2	Streptomyces sp. S1D4-20	S1D4-20	12245359	6174326	8593197	70
GCA_007113585.2	Streptomyces sp. S1D4-20	S1D4-20	12245359	6174326	8593197	70
GCF_007113485.2	Streptomyces sp. S1D4-23	S1D4-23	12057750	6050554	8462838	70
GCA_007113485.2	Streptomyces sp. S1D4-23	S1D4-23	12057750	6050554	8462838	70
GCF_013044505.1	Streptomyces sp. S3(2020)	S3(2020)	10988816	40558	7752957	70.5
GCA_013044505.1	Streptomyces sp. S3(2020)	S3(2020)	10988816	40558	7752957	70.5
GCF_034119685.1	Streptomyces sp. S399	S399	6761386	231605	4962021	73.5
GCA_034119685.1	Streptomyces sp. S399	S399	6761386	231605	4962021	73.5
GCF_010384365.1	Streptomyces sp. S4.7	S4.7	7940295	7920066	5615397	70.5
GCA_010384365.1	Streptomyces sp. S4.7	S4.7	7940295	7920066	5615397	70.5
GCF_026898115.1	Streptomyces sp. S465	S465	9662200	9638869	6917191	71.5
GCA_026898115.1	Streptomyces sp. S465	S465	9662200	9638869	6917191	71.5
GCF_003687515.1	Streptomyces sp. S5	S5	7186472	8483	5237675	73
GCA_003687515.1	Streptomyces sp. S5	S5	7186472	8483	5237675	73
GCF_004524875.1	Streptomyces sp. S501	S501	7461832	7173651	5301558	71
GCA_004524875.1	Streptomyces sp. S501	S501	7461832	7173651	5301558	71
GCF_034668605.1	Streptomyces sp. S584	S584	7855040	7855040	5595718	71
GCA_034668605.1	Streptomyces sp. S584	S584	7855040	7855040	5595718	71
GCA_004521945.2	Streptomyces sp. S6	S6	7875470	7875470	5670852	72
GCF_002094995.1	Streptomyces sp. S8	S8	7601864	7529075	5495234	72.5
GCA_002094995.1	Streptomyces sp. S8	S8	7601864	7529075	5495234	72.5
GCF_004794665.1	Streptomyces sp. S816	S816	8584460	1933410	6157041	71.5
GCA_004794665.1	Streptomyces sp. S816	S816	8584460	1933410	6157041	71.5
GCF_002291145.1	Streptomyces sp. SA15	SA15	10356278	101483	7276803	70.5
GCA_002291145.1	Streptomyces sp. SA15	SA15	10356278	101483	7276803	70.5
